writer_id,writer_story,condition
76hqrw6l,"Arianna and her dog were sailing on a boat across the Baltic Sea. The journey was long but so adventures. She was trying to cross the sea from Sweden to Poland so she could meet her one true love. They have been writing letters to each other for 18 months and decided it was time to meet. Arianna had her trip planned before she spoke to Leo for the first time. Since he lived in Poland it felt like faith. When she arrived to port she could see him waiting on shore, waving in excitement. She ran to him and it felt like she knew him forever. ",Human only
g7nezgk7,"On a moonlit night, beneath a starry sky, Alex, set sail across the open seas. Armed with dreams of treasure and foreign lands, he dared to uncover the mysteries that lay beyond the horizon. The melody of crashing waves and the distant call of seagulls guided his journey. As Alex's ship glided through turquoise waters, a huge storm arose, challenging his resolve. But Alex, fueled with resilience, steered through the chaos of the churning waters with a steady hand. Many moons after, a breathtaking encounter awaited him, as he stumbled upon a hidden mermaid sanctuary, their infectious songs captivating Alex's heart. Encouraged by his newfound allies, Alex navigated the treacherous waters and perilous currents, finally discovering an ancient treasure lost to time. With the treasure secured, Alex returned home, forever transformed by the enchantment of the open seas.",Human with 5 GenAI ideas
qbyzl7et,"Becky knew she wasn't supposed to take her father's boat out of the harbour onto the open sea by herself, but it was a lovely day and the sea was still and calm, she'd watched her father operate the boat more times than she could remember so she felt confident as she started the motor and headed out.      Becky turned her face upwards towards the warm sun and closed her eyes, blissfully enjoying the heat and the sound of the water lapping at the sides of the boat.   She felt a shadow pass overhead and opened her eyes, delighted to see the seagull flying over her head and the three others who had joined their brother, she felt giddy as they circled above her with their shrieking cries. Suddenly one of the gulls swooped lower and she felt a stabbing pain in her head as it's beak connected with it, another beak flew into her face and she screamed as she felt her flesh tear. Beak after razor-sharp beak pecked at her head and slashed her arms as she tried to protect herself. Blood was running down her face into her eyes and she could no longer see.   She curled into a ball at the bottom of the boat and waited for the onslaught to stop, and she waited and she waited and she waited. By mid-afternoon the next day an empty boat was seen gently drifting into the harbour. ",Human only
jxik9esa,"Rachel and Emily crouched to look at the tiny, dark spider.  'Careful Rach,' Emily warned, resting her hand on her sister's. 'That might be venomous.'  'But Mrs Webb told us to find the most interesting thing we could.'  Emily stood up, stretching her back as she looked up at the high canopy of the trees and then around at the shadowy forest floor. They'd wandered quite a way from the college group and she couldn't hear anyone else, or anything else for that matter.  'Do you remember the way back Rach?'  'We just need to follow the string you teased me for bringing,' Rachel said with a laugh.  ",Human only
ivle53r3,"A group of young, daring explorers have embarked upon a dangerous expedition in order to unearth ancient relics hidden for centuries in the heart of the jungle. Much to their horror, they quickly realise that they are not alone, as an unknown and ferocious creature is lurking in the shadows - ready to maim and kill. Amidst the tangled vines and the endless thick, towering trees - the group find themselves in mortal danger while, but they are determined to unearth the relics to solve the mysteries behind a lost civilization.  Jacob, the leader of the group, has been digging for what seems an age when he notices something glistening in the sunlight. Excited, he calls on his right hand man, Ian, to help with the delicate excavation project. Just as he begins to bring the relic to the surface, the creature jumps on his back - knocking him to the ground. Jacob screams in agony as the creature makes a fatal bite into his neck; he knows he is not going to make it. With his last dying breath he manages to alert the others in the group to the mortal danger they face, and pleads with them to run and leave the place as fast as he can, leaving him to die in the jungle. ",Human with 1 GenAI idea
t4v3iter,"John, an explorer and adventurer, had a lifelong ambition to enter the mysterious jungle where nobody before him had survived, and at long last he embarked on his mission to seek the legendary lost city of Perditum.  During the first few days of his adventure, John acclimatised himself with the jungle, seeking out safe vegetation to eat, building makeshift shelters along the way and keeping out of the way of dangerous animals.  After two weeks of pushing deeper into the jungle, he stumbled upon a settlement of mudhuts, where he saw  groups of native women, some cooking food over fires, some sitting by the river washing clothes, as they watched their children playing happily in the distance.  Suddenly one of the women started screaming hysterically and it soon became clear that her child was missing; John ran across to the group, who, startled at first at seeing a stranger in their midst, desperately pointed to an area of dense undergrowth behind the huts.  It became clear that the child had been seen running towards the undergrowth, but when John ventured in that direction, the women tried to stop him, looks of sheer terror on their faces, and emitting bloodcurdling screams as he ignored their warnings and ran towards the deep undergrowth.  As he ventured further, the jungle became thicker, and after two hours of struggling through the dense growth, sustaining cuts and bruises and being bitten by insects, he stumbled, falling and hitting his head on a stump, whereupon he passed out.  As he regained consciousness, he remembered a vivid dream that he must have experienced whilst unconscious, where he was floundering in a swamp, desperately trying to get out, before succumbing to the abyss; when suddenly a small boy appeared from nowhere and miraculously pulled him to safety, after which, John knew he had to carry on and find the missing boy.  He got to his feet and staggered on, gradually becoming stronger, when suddenly a clearing appeared in the jungle, and John could hardly believe what he was witnessing: the long lost city he had set out to discover, and here was the missing boy, looking bewildered and lost; John hauled him up onto his shoulders and began the long journey back to the safety of the boy's home village.  ",Human with 5 GenAI ideas
u34krutn,"We set sail on the morning of June the 26th 1892.  Or destination was kept secret from us, only the captain and his mates knew.  Guns and weapons had been put on board so we had some trepidation.  The sea was rough and the ship was taking a battering, it would be a long voyage ahead.  A few days into the voyage we came across another ship in our path, the captain ordered us to take arms.  We were instructed to open fire on the vessel despite no aggression being shown towards us.  The other ship was still afloat but most of the crew had been killed.  We boarded the depleted ship and found treasure aboard which we looted for our own ends.",Human with 5 GenAI ideas
mnj9130x,"Kye peered over the edge of the boat and shuddered. The thick mass of water undulated below him, dark and impenetrable. They still had 600 miles before reaching Hamlet Cove, and the way was looking grim. Up ahead was a wall of grey cloud, and following them from the South, the same. The ship was quiet that day. They all knew what challenges lay ahead, and an unnerving presence hung in the air. Kye turned to the captain. He had never seen him look so pale.",Human only
fthjzfpo,"This is my story.  There were 8 of us on a journey to another planet to look for life.  As we touched down on Mars we were greeted by a group of Ant-like looking creatures.  We were led to their king who was in a very large Ant-like palace.  The Ant King thanked us for coming and told us that we must take better care of our planet earth otherwise we would destroy its resources within 100 years.      We were shown around the palace and saw how these creatures used the resources available to them to be sustainable and have economic growth within their communities.  We lived with the Ant people for 3 months learning and being educated by them about everything.  I had a wonderful time on Mars we are not alone in the universe.  I learnt a word when living on Mars: TICKI it means LOVE",Human with 1 GenAI idea
27qim6g0,"Deep within the heart of a lush, unexplored jungle, a young explorer named Amelia set out on a thrillng adventure. Equipped with her trusty map and a spirit of curiosity. she trekked through the dense foliage, guided only by the sounds of exotic birds and rustling leaves. The humid air hung heavy around her as she discovered ancient ruins, entangled with vines and mystery. As dusk settled, Amelia's flashlight illuminated the glowing eyes of a magnificent black panther, causing her heart to race with both fear and awe. With quick thinking, she cautiously befriended the majestic creature, who became her loyal companion in navigating treacherous terrain and warding off hidden dangers. Together, they stumbled upon a hidden treasure trove, brimming with sparkling jewels and ancient artifacts, remnants of a forgotten civilization. Overwhelmed by the awe-inspiring discovery, Amelia couldn't help but marvel at the untamed beauty of the jungle and the boundless adventures it held within its leafy embrace.",Human with 1 GenAI idea
